Name,Origine,Destinazione,Total_Minu,Total_Mete
79043 - 28060,79043.0,28060.0,531.72,1032123.36
79047 - 28060,79047.0,28060.0,532.34,1035724.93
79048 - 28060,79048.0,28060.0,541.43,1059435.69
59028 - 28060,59028.0,28060.0,310.0,569110.4
67028 - 28060,67028.0,28060.0,245.15,464697.57
58120 - 28060,58120.0,28060.0,271.14,525658.35
76063 - 28060,76063.0,28060.0,422.75,828396.09
64043 - 28060,64043.0,28060.0,365.07,699623.35
64044 - 28060,64044.0,28060.0,399.1,760637.01
64045 - 28060,64045.0,28060.0,386.15,742632.4
64046 - 28060,64046.0,28060.0,368.22,721475.78
65120 - 28060,65120.0,28060.0,408.53,792761.98
65121 - 28060,65121.0,28060.0,373.77,734910.55
65122 - 28060,65122.0,28060.0,364.02,710912.23
65123 - 28060,65123.0,28060.0,431.35,805985.27
65124 - 28060,65124.0,28060.0,455.83,833111.28
65125 - 28060,65125.0,28060.0,415.74,814750.81
65126 - 28060,65126.0,28060.0,418.16,818645.2
64053 - 28060,64053.0,28060.0,374.66,729145.94
64054 - 28060,64054.0,28060.0,364.08,713500.15
64055 - 28060,64055.0,28060.0,372.06,725824.42
64056 - 28060,64056.0,28060.0,378.74,711376.58
64057 - 28060,64057.0,28060.0,389.48,748872.33
38012 - 28060,38012.0,28060.0,55.44,99251.62
38013 - 28060,38013.0,28060.0,68.78,117870.04
38014 - 28060,38014.0,28060.0,64.84,74109.58
79052 - 28060,79052.0,28060.0,562.78,1094073.49
79055 - 28060,79055.0,28060.0,577.57,1110232.19
79056 - 28060,79056.0,28060.0,573.35,1104382.22
79058 - 28060,79058.0,28060.0,554.9,1080222.08
79059 - 28060,79059.0,28060.0,547.1,1066637.32
79060 - 28060,79060.0,28060.0,535.23,1043587.65
67027 - 28060,67027.0,28060.0,251.0,468420.76
80004 - 28060,80004.0,28060.0,599.73,1147022.29
80005 - 28060,80005.0,28060.0,610.17,1167035.86
80006 - 28060,80006.0,28060.0,621.16,1204125.01
80007 - 28060,80007.0,28060.0,579.22,1141061.12
67047 - 28060,67047.0,28060.0,213.87,413745.81
68001 - 28060,68001.0,28060.0,261.59,502701.69
68002 - 28060,68002.0,28060.0,259.87,501824.9
68003 - 28060,68003.0,28060.0,262.8,511062.43
68004 - 28060,68004.0,28060.0,273.22,509095.1
68005 - 28060,68005.0,28060.0,265.91,517949.69
68006 - 28060,68006.0,28060.0,243.07,469369.88
68007 - 28060,68007.0,28060.0,273.12,515468.91
68008 - 28060,68008.0,28060.0,275.3,511399.97
68009 - 28060,68009.0,28060.0,261.83,508136.59
68010 - 28060,68010.0,28060.0,262.86,499845.57
58106 - 28060,58106.0,28060.0,238.21,454179.72
58107 - 28060,58107.0,28060.0,257.35,471679.51
58108 - 28060,58108.0,28060.0,306.98,561881.23
58109 - 28060,58109.0,28060.0,278.1,507069.29
58110 - 28060,58110.0,28060.0,261.83,513781.19
58111 - 28060,58111.0,28060.0,280.75,535018.11
58112 - 28060,58112.0,28060.0,262.13,512092.35
58113 - 28060,58113.0,28060.0,278.63,536952.32
58114 - 28060,58114.0,28060.0,263.56,512206.96
58115 - 28060,58115.0,28060.0,272.95,526219.6
58116 - 28060,58116.0,28060.0,281.26,534592.54
61008 - 28060,61008.0,28060.0,320.08,629043.66
61009 - 28060,61009.0,28060.0,347.83,662319.36
61010 - 28060,61010.0,28060.0,331.85,643099.89
61011 - 28060,61011.0,28060.0,333.25,651128.7
61012 - 28060,61012.0,28060.0,349.66,669736.12
61013 - 28060,61013.0,28060.0,340.57,665087.26
61014 - 28060,61014.0,28060.0,333.27,635102.28
61015 - 28060,61015.0,28060.0,336.56,655365.92
61016 - 28060,61016.0,28060.0,348.68,682425.53
61017 - 28060,61017.0,28060.0,337.93,649934.25
66096 - 28060,66096.0,28060.0,283.74,550103.18
66097 - 28060,66097.0,28060.0,288.07,547814.5
66098 - 28060,66098.0,28060.0,278.29,538158.08
59021 - 28060,59021.0,28060.0,303.21,562079.04
59022 - 28060,59022.0,28060.0,280.52,527996.03
59023 - 28060,59023.0,28060.0,301.93,572428.11
59024 - 28060,59024.0,28060.0,318.16,583839.73
67029 - 28060,67029.0,28060.0,227.39,439162.65
67030 - 28060,67030.0,28060.0,226.42,436929.21
70024 - 28060,70024.0,28060.0,328.41,610307.4
70025 - 28060,70025.0,28060.0,363.35,667483.75
70026 - 28060,70026.0,28060.0,351.18,650625.59
