Name,Origine,Destinazione,Total_Minu,Total_Mete
1042 - 28060,1042.0,28060.0,182.1,345099.93
1043 - 28060,1043.0,28060.0,199.6,369509.86
1044 - 28060,1044.0,28060.0,213.41,413232.33
1045 - 28060,1045.0,28060.0,204.48,393681.55
1046 - 28060,1046.0,28060.0,204.99,386806.57
1047 - 28060,1047.0,28060.0,186.29,343654.71
1048 - 28060,1048.0,28060.0,197.49,381963.99
1049 - 28060,1049.0,28060.0,227.04,428511.88
1050 - 28060,1050.0,28060.0,188.46,346411.9
1051 - 28060,1051.0,28060.0,206.27,397860.07
1052 - 28060,1052.0,28060.0,205.68,376169.68
1053 - 28060,1053.0,28060.0,220.93,410003.12
1054 - 28060,1054.0,28060.0,224.36,406038.18
1055 - 28060,1055.0,28060.0,207.3,398270.8
1056 - 28060,1056.0,28060.0,177.05,340251.22
1057 - 28060,1057.0,28060.0,188.21,363200.7
1058 - 28060,1058.0,28060.0,207.99,398616.26
1059 - 28060,1059.0,28060.0,207.61,402729.69
1060 - 28060,1060.0,28060.0,188.69,358145.87
1061 - 28060,1061.0,28060.0,183.3,345891.34
1062 - 28060,1062.0,28060.0,202.91,384692.98
1063 - 28060,1063.0,28060.0,193.72,374490.54
1064 - 28060,1064.0,28060.0,186.71,355053.47
1065 - 28060,1065.0,28060.0,214.07,408943.25
1066 - 28060,1066.0,28060.0,191.38,361068.35
1067 - 28060,1067.0,28060.0,196.93,365907.85
1068 - 28060,1068.0,28060.0,189.82,362277.74
1069 - 28060,1069.0,28060.0,191.11,360411.5
1070 - 28060,1070.0,28060.0,224.78,427105.27
1071 - 28060,1071.0,28060.0,216.06,411024.12
1072 - 28060,1072.0,28060.0,220.32,402931.74
1073 - 28060,1073.0,28060.0,237.67,404797.31
1074 - 28060,1074.0,28060.0,235.52,453990.17
1075 - 28060,1075.0,28060.0,229.04,410093.18
1076 - 28060,1076.0,28060.0,213.15,412725.99
1077 - 28060,1077.0,28060.0,185.68,348495.23
1078 - 28060,1078.0,28060.0,200.19,380559.65
1079 - 28060,1079.0,28060.0,201.35,369737.62
1080 - 28060,1080.0,28060.0,222.76,427039.43
1081 - 28060,1081.0,28060.0,208.02,398627.63
1082 - 28060,1082.0,28060.0,181.52,349903.02
1001 - 28060,1001.0,28060.0,191.79,359987.51
1002 - 28060,1002.0,28060.0,209.44,404667.93
1003 - 28060,1003.0,28060.0,229.2,411022.17
1004 - 28060,1004.0,28060.0,175.25,338287.94
1005 - 28060,1005.0,28060.0,192.71,360682.56
1006 - 28060,1006.0,28060.0,204.45,394194.29
1007 - 28060,1007.0,28060.0,208.5,379512.06
1008 - 28060,1008.0,28060.0,197.96,380694.11
1009 - 28060,1009.0,28060.0,200.75,381933.87
1010 - 28060,1010.0,28060.0,191.12,353744.9
1011 - 28060,1011.0,28060.0,231.8,433665.84
1012 - 28060,1012.0,28060.0,200.92,381812.33
1013 - 28060,1013.0,28060.0,205.1,393104.17
1014 - 28060,1014.0,28060.0,179.8,342272.51
1015 - 28060,1015.0,28060.0,188.79,357556.64
1016 - 28060,1016.0,28060.0,207.92,389376.05
1017 - 28060,1017.0,28060.0,187.54,356814.95
1018 - 28060,1018.0,28060.0,197.48,369970.49
1019 - 28060,1019.0,28060.0,236.51,418396.59
1020 - 28060,1020.0,28060.0,181.67,348935.91
1021 - 28060,1021.0,28060.0,206.77,376720.79
1022 - 28060,1022.0,28060.0,236.58,457654.49
1023 - 28060,1023.0,28060.0,188.54,362523.02
1024 - 28060,1024.0,28060.0,201.39,389869.75
1025 - 28060,1025.0,28060.0,226.52,427271.12
1026 - 28060,1026.0,28060.0,240.14,440586.39
1027 - 28060,1027.0,28060.0,180.35,343157.44
1028 - 28060,1028.0,28060.0,192.98,371279.47
1029 - 28060,1029.0,28060.0,200.05,366607.71
1030 - 28060,1030.0,28060.0,189.5,352385.7
1031 - 28060,1031.0,28060.0,177.87,338198.12
1032 - 28060,1032.0,28060.0,210.48,408168.47
1033 - 28060,1033.0,28060.0,193.99,363489.06
1034 - 28060,1034.0,28060.0,183.64,353665.02
1035 - 28060,1035.0,28060.0,222.29,423765.77
3036 - 28060,3036.0,28060.0,159.89,299121.38
3037 - 28060,3037.0,28060.0,154.62,294045.78
3039 - 28060,3039.0,28060.0,155.89,294965.01
3040 - 28060,3040.0,28060.0,157.32,295313.57
3041 - 28060,3041.0,28060.0,158.94,298410.3
3042 - 28060,3042.0,28060.0,156.95,294886.22
3043 - 28060,3043.0,28060.0,151.74,287142.75
3044 - 28060,3044.0,28060.0,162.61,299272.14
3045 - 28060,3045.0,28060.0,161.9,306990.34
3047 - 28060,3047.0,28060.0,167.47,316812.45
3049 - 28060,3049.0,28060.0,148.91,272408.85
3051 - 28060,3051.0,28060.0,160.5,304048.99
4229 - 28060,4229.0,28060.0,233.51,418289.36
4230 - 28060,4230.0,28060.0,201.55,377642.01
2017 - 28060,2017.0,28060.0,158.81,298246.3
2019 - 28060,2019.0,28060.0,184.65,335329.54
1272 - 28060,1272.0,28060.0,195.22,371675.39
1273 - 28060,1273.0,28060.0,179.77,345347.45
1274 - 28060,1274.0,28060.0,188.11,356925.98
1275 - 28060,1275.0,28060.0,231.11,431058.89
1276 - 28060,1276.0,28060.0,207.58,397716.96
1215 - 28060,1215.0,28060.0,194.39,374618.58
1216 - 28060,1216.0,28060.0,202.04,371656.8
1217 - 28060,1217.0,28060.0,194.93,366932.92
4060 - 28060,4060.0,28060.0,284.82,512941.68
4063 - 28060,4063.0,28060.0,217.32,396710.85
4064 - 28060,4064.0,28060.0,247.7,436956.61
4158 - 28060,4158.0,28060.0,241.2,426248.21
4159 - 28060,4159.0,28060.0,250.59,468926.22
4166 - 28060,4166.0,28060.0,244.4,427329.19
4167 - 28060,4167.0,28060.0,282.8,480580.23
4168 - 28060,4168.0,28060.0,199.66,378229.45
6003 - 28060,6003.0,28060.0,165.76,313411.48
6004 - 28060,6004.0,28060.0,194.55,360749.26
7006 - 28060,7006.0,28060.0,225.32,432690.71
7007 - 28060,7007.0,28060.0,220.91,402873.27
7008 - 28060,7008.0,28060.0,218.15,422715.15
7009 - 28060,7009.0,28060.0,192.68,369356.98
7010 - 28060,7010.0,28060.0,236.83,436397.6
7011 - 28060,7011.0,28060.0,216.11,410777.68
7055 - 28060,7055.0,28060.0,239.62,445880.41
7056 - 28060,7056.0,28060.0,229.84,435669.14
7057 - 28060,7057.0,28060.0,220.65,419300.4
7058 - 28060,7058.0,28060.0,214.23,411911.18
7059 - 28060,7059.0,28060.0,210.62,399701.61
4231 - 28060,4231.0,28060.0,203.28,378959.59
4232 - 28060,4232.0,28060.0,226.22,414627.49
4233 - 28060,4233.0,28060.0,258.67,450036.23
4234 - 28060,4234.0,28060.0,257.02,485619.0
4160 - 28060,4160.0,28060.0,232.99,440398.44
4161 - 28060,4161.0,28060.0,222.96,396352.99
4162 - 28060,4162.0,28060.0,236.97,448560.45
4163 - 28060,4163.0,28060.0,251.26,476825.39
1036 - 28060,1036.0,28060.0,197.83,365994.24
1037 - 28060,1037.0,28060.0,195.34,365976.54
1038 - 28060,1038.0,28060.0,208.29,394856.98
1039 - 28060,1039.0,28060.0,190.01,351829.38
1040 - 28060,1040.0,28060.0,212.3,410069.25
1041 - 28060,1041.0,28060.0,215.3,413677.16
1196 - 28060,1196.0,28060.0,177.61,334142.04
1197 - 28060,1197.0,28060.0,197.64,378296.67
1198 - 28060,1198.0,28060.0,232.32,435977.96
1199 - 28060,1199.0,28060.0,202.93,371459.27
1200 - 28060,1200.0,28060.0,221.3,422939.62
1201 - 28060,1201.0,28060.0,253.17,475170.28
1202 - 28060,1202.0,28060.0,251.58,455351.96
1203 - 28060,1203.0,28060.0,203.53,385698.17
1204 - 28060,1204.0,28060.0,240.62,434179.08
1205 - 28060,1205.0,28060.0,223.46,424571.29
1083 - 28060,1083.0,28060.0,189.55,362307.4
1084 - 28060,1084.0,28060.0,197.75,366780.72
1085 - 28060,1085.0,28060.0,194.18,364013.67
1086 - 28060,1086.0,28060.0,199.02,380605.73
1087 - 28060,1087.0,28060.0,240.57,460429.96
1088 - 28060,1088.0,28060.0,213.39,394933.49
1089 - 28060,1089.0,28060.0,216.7,405014.94
1090 - 28060,1090.0,28060.0,196.04,378733.81
1091 - 28060,1091.0,28060.0,199.01,365474.63
1092 - 28060,1092.0,28060.0,183.06,351082.71
1093 - 28060,1093.0,28060.0,208.82,400066.61
1094 - 28060,1094.0,28060.0,211.31,392850.38
1095 - 28060,1095.0,28060.0,180.57,343744.64
1096 - 28060,1096.0,28060.0,187.99,356904.91
1097 - 28060,1097.0,28060.0,215.89,404251.56
1098 - 28060,1098.0,28060.0,198.11,366861.26
1099 - 28060,1099.0,28060.0,197.92,376551.0
1100 - 28060,1100.0,28060.0,227.49,432354.71
1101 - 28060,1101.0,28060.0,196.81,367348.91
1102 - 28060,1102.0,28060.0,193.52,365821.82
1103 - 28060,1103.0,28060.0,245.34,451291.02
1104 - 28060,1104.0,28060.0,202.72,383960.2
1105 - 28060,1105.0,28060.0,184.29,350958.97
1106 - 28060,1106.0,28060.0,189.15,358173.74
1107 - 28060,1107.0,28060.0,205.58,374738.43
1108 - 28060,1108.0,28060.0,210.36,379272.9
1109 - 28060,1109.0,28060.0,203.44,373797.41
1110 - 28060,1110.0,28060.0,218.62,407937.54
1111 - 28060,1111.0,28060.0,220.55,419456.03
1112 - 28060,1112.0,28060.0,187.21,360094.12
1113 - 28060,1113.0,28060.0,210.61,392583.29
1114 - 28060,1114.0,28060.0,219.99,424600.14
1115 - 28060,1115.0,28060.0,210.94,400168.35
1116 - 28060,1116.0,28060.0,203.7,386596.46
1117 - 28060,1117.0,28060.0,220.11,424188.08
1118 - 28060,1118.0,28060.0,235.84,415714.23
1119 - 28060,1119.0,28060.0,203.45,385257.22
1120 - 28060,1120.0,28060.0,199.47,381232.61
1121 - 28060,1121.0,28060.0,214.39,380807.21
1122 - 28060,1122.0,28060.0,228.75,432286.24
1123 - 28060,1123.0,28060.0,196.79,376570.26
1124 - 28060,1124.0,28060.0,190.37,358757.76
1125 - 28060,1125.0,28060.0,184.65,351613.41
1126 - 28060,1126.0,28060.0,203.57,387052.51
1127 - 28060,1127.0,28060.0,202.66,392515.1
1128 - 28060,1128.0,28060.0,209.55,391393.38
1129 - 28060,1129.0,28060.0,186.75,356283.5
1130 - 28060,1130.0,28060.0,191.37,363141.36
1131 - 28060,1131.0,28060.0,230.74,413694.21
1132 - 28060,1132.0,28060.0,186.6,353320.98
1133 - 28060,1133.0,28060.0,205.07,375406.84
1134 - 28060,1134.0,28060.0,215.12,383339.51
1135 - 28060,1135.0,28060.0,193.05,362937.18
1136 - 28060,1136.0,28060.0,214.5,399621.63
1137 - 28060,1137.0,28060.0,182.15,349595.96
1138 - 28060,1138.0,28060.0,189.9,358288.66
1139 - 28060,1139.0,28060.0,228.07,428232.93
1140 - 28060,1140.0,28060.0,229.33,430424.83
1141 - 28060,1141.0,28060.0,190.06,361913.38
1142 - 28060,1142.0,28060.0,217.97,416563.4
1143 - 28060,1143.0,28060.0,176.06,335292.08
1144 - 28060,1144.0,28060.0,200.26,372652.77
1145 - 28060,1145.0,28060.0,247.52,450657.04
1146 - 28060,1146.0,28060.0,204.94,386521.76
1147 - 28060,1147.0,28060.0,216.53,416375.69
1148 - 28060,1148.0,28060.0,182.05,340067.04
1149 - 28060,1149.0,28060.0,218.22,422027.53
1150 - 28060,1150.0,28060.0,184.47,353422.71
1151 - 28060,1151.0,28060.0,196.41,364573.61
1152 - 28060,1152.0,28060.0,220.35,401487.58
1153 - 28060,1153.0,28060.0,203.22,383927.39
1154 - 28060,1154.0,28060.0,218.46,422091.53
1155 - 28060,1155.0,28060.0,217.42,398294.1
1156 - 28060,1156.0,28060.0,202.79,391725.52
1157 - 28060,1157.0,28060.0,231.3,437952.27
1158 - 28060,1158.0,28060.0,197.9,370169.92
1159 - 28060,1159.0,28060.0,186.65,359958.73
1160 - 28060,1160.0,28060.0,185.77,349040.79
1161 - 28060,1161.0,28060.0,184.42,352966.22
1162 - 28060,1162.0,28060.0,189.12,358601.0
1163 - 28060,1163.0,28060.0,201.83,371545.92
1164 - 28060,1164.0,28060.0,203.86,394218.29
1165 - 28060,1165.0,28060.0,229.04,396487.09
1166 - 28060,1166.0,28060.0,202.42,383918.81
1167 - 28060,1167.0,28060.0,193.69,356796.51
1168 - 28060,1168.0,28060.0,208.44,403851.36
1169 - 28060,1169.0,28060.0,225.52,428825.03
2042 - 28060,2042.0,28060.0,173.07,331587.74
2043 - 28060,2043.0,28060.0,188.5,330955.33
2045 - 28060,2045.0,28060.0,164.65,312887.82
2047 - 28060,2047.0,28060.0,176.75,318486.11
2048 - 28060,2048.0,28060.0,199.99,349047.79
2049 - 28060,2049.0,28060.0,184.29,346063.93
1192 - 28060,1192.0,28060.0,197.71,376041.7
1193 - 28060,1193.0,28060.0,209.17,398255.47
1194 - 28060,1194.0,28060.0,209.83,396521.74
1195 - 28060,1195.0,28060.0,211.48,409075.8
1237 - 28060,1237.0,28060.0,203.02,382845.18
1238 - 28060,1238.0,28060.0,202.26,372899.14
1239 - 28060,1239.0,28060.0,210.55,408270.34
1240 - 28060,1240.0,28060.0,200.65,381259.39
1241 - 28060,1241.0,28060.0,208.08,390948.2
1242 - 28060,1242.0,28060.0,224.07,426297.96
1243 - 28060,1243.0,28060.0,199.66,382915.47
1244 - 28060,1244.0,28060.0,186.64,359540.6
1245 - 28060,1245.0,28060.0,211.37,411469.57
1246 - 28060,1246.0,28060.0,184.84,357965.37
1247 - 28060,1247.0,28060.0,182.8,352046.24
1248 - 28060,1248.0,28060.0,195.85,377590.81
1249 - 28060,1249.0,28060.0,190.84,366683.52
1250 - 28060,1250.0,28060.0,222.06,421335.06
1251 - 28060,1251.0,28060.0,195.67,366347.98
1252 - 28060,1252.0,28060.0,186.21,359176.36
1253 - 28060,1253.0,28060.0,184.22,353276.04
1254 - 28060,1254.0,28060.0,220.0,421443.39
1255 - 28060,1255.0,28060.0,204.51,395125.65
1256 - 28060,1256.0,28060.0,211.07,403112.71
1257 - 28060,1257.0,28060.0,196.42,381099.44
1258 - 28060,1258.0,28060.0,242.23,460817.5
1259 - 28060,1259.0,28060.0,235.35,449772.22
1260 - 28060,1260.0,28060.0,212.15,407377.69
1261 - 28060,1261.0,28060.0,180.25,349145.75
1262 - 28060,1262.0,28060.0,194.66,367095.7
1263 - 28060,1263.0,28060.0,244.48,464914.71
1264 - 28060,1264.0,28060.0,180.65,343339.26
1265 - 28060,1265.0,28060.0,186.19,360153.32
1266 - 28060,1266.0,28060.0,188.95,363868.71
1267 - 28060,1267.0,28060.0,207.4,376082.16
1268 - 28060,1268.0,28060.0,185.24,353605.96
1269 - 28060,1269.0,28060.0,183.71,351799.74
1270 - 28060,1270.0,28060.0,216.5,420386.38
1271 - 28060,1271.0,28060.0,188.22,363137.99
1293 - 28060,1293.0,28060.0,182.6,350524.42
1294 - 28060,1294.0,28060.0,190.33,351169.69
1295 - 28060,1295.0,28060.0,180.23,343244.91
1296 - 28060,1296.0,28060.0,184.5,353685.06
1297 - 28060,1297.0,28060.0,197.96,365434.49
1298 - 28060,1298.0,28060.0,190.22,358844.46
1299 - 28060,1299.0,28060.0,218.87,414057.37
1300 - 28060,1300.0,28060.0,225.57,421245.24
1301 - 28060,1301.0,28060.0,203.71,385703.71
1302 - 28060,1302.0,28060.0,203.92,387157.62
1303 - 28060,1303.0,28060.0,204.51,394456.26
1304 - 28060,1304.0,28060.0,177.13,335304.97
1305 - 28060,1305.0,28060.0,212.52,409690.17
1306 - 28060,1306.0,28060.0,236.55,436127.86
1307 - 28060,1307.0,28060.0,225.5,428346.99
1308 - 28060,1308.0,28060.0,201.45,385592.98
1309 - 28060,1309.0,28060.0,205.92,395337.94
1310 - 28060,1310.0,28060.0,217.66,409290.24
1311 - 28060,1311.0,28060.0,186.9,344751.18
1312 - 28060,1312.0,28060.0,188.91,357261.13
1313 - 28060,1313.0,28060.0,222.22,405493.23
4164 - 28060,4164.0,28060.0,227.46,397649.37
4165 - 28060,4165.0,28060.0,242.33,463898.07
4215 - 28060,4215.0,28060.0,221.83,404567.2
4216 - 28060,4216.0,28060.0,239.36,450758.58
4217 - 28060,4217.0,28060.0,233.29,431057.79
4218 - 28060,4218.0,28060.0,206.69,386088.63
6016 - 28060,6016.0,28060.0,160.68,296596.02
6017 - 28060,6017.0,28060.0,199.56,361438.96
6018 - 28060,6018.0,28060.0,169.77,323304.54
6019 - 28060,6019.0,28060.0,172.49,329033.73
6020 - 28060,6020.0,28060.0,176.13,336872.43
6021 - 28060,6021.0,28060.0,168.08,318049.66
8049 - 28060,8049.0,28060.0,248.73,461612.35
8050 - 28060,8050.0,28060.0,249.98,475602.25
8051 - 28060,8051.0,28060.0,272.15,514598.85
8052 - 28060,8052.0,28060.0,233.7,452111.81
8053 - 28060,8053.0,28060.0,263.04,504050.1
8054 - 28060,8054.0,28060.0,243.97,468697.8
8055 - 28060,8055.0,28060.0,256.82,489847.2
8056 - 28060,8056.0,28060.0,248.66,474300.89
8057 - 28060,8057.0,28060.0,262.36,503405.46
1170 - 28060,1170.0,28060.0,194.95,365957.26
1171 - 28060,1171.0,28060.0,202.33,389575.3
1172 - 28060,1172.0,28060.0,188.1,361696.1
1173 - 28060,1173.0,28060.0,218.14,419690.25
1174 - 28060,1174.0,28060.0,215.33,399367.03
1175 - 28060,1175.0,28060.0,229.2,444421.16
1176 - 28060,1176.0,28060.0,191.12,363865.49
1177 - 28060,1177.0,28060.0,179.88,337016.32
1178 - 28060,1178.0,28060.0,218.62,410381.27
1179 - 28060,1179.0,28060.0,183.51,351658.27
1180 - 28060,1180.0,28060.0,196.01,368626.0
1181 - 28060,1181.0,28060.0,181.54,348596.38
2108 - 28060,2108.0,28060.0,164.59,309880.66
2110 - 28060,2110.0,28060.0,216.9,365372.46
2111 - 28060,2111.0,28060.0,217.87,367824.57
2112 - 28060,2112.0,28060.0,211.47,360890.86
2113 - 28060,2113.0,28060.0,211.98,361591.73
2114 - 28060,2114.0,28060.0,224.8,372824.72
2115 - 28060,2115.0,28060.0,176.47,316472.98
2116 - 28060,2116.0,28060.0,173.96,323506.06
2118 - 28060,2118.0,28060.0,177.39,319574.56
2121 - 28060,2121.0,28060.0,205.05,353701.32
2122 - 28060,2122.0,28060.0,168.26,312112.96
2123 - 28060,2123.0,28060.0,199.29,348165.09
2126 - 28060,2126.0,28060.0,174.43,316913.96
2127 - 28060,2127.0,28060.0,170.85,313120.25
2128 - 28060,2128.0,28060.0,181.74,341022.5
2131 - 28060,2131.0,28060.0,172.24,328451.49
2133 - 28060,2133.0,28060.0,167.63,322202.07
2134 - 28060,2134.0,28060.0,204.99,354507.03
2135 - 28060,2135.0,28060.0,207.89,356758.53
2137 - 28060,2137.0,28060.0,171.62,322005.65
2142 - 28060,2142.0,28060.0,173.31,314706.21
2147 - 28060,2147.0,28060.0,174.98,317078.48
2148 - 28060,2148.0,28060.0,180.56,323123.02
2150 - 28060,2150.0,28060.0,171.32,325048.93
2152 - 28060,2152.0,28060.0,175.86,318343.05
2156 - 28060,2156.0,28060.0,189.8,339618.6
2158 - 28060,2158.0,28060.0,164.6,304426.23
2163 - 28060,2163.0,28060.0,161.04,308135.82
2164 - 28060,2164.0,28060.0,161.99,302135.64
2166 - 28060,2166.0,28060.0,196.33,345614.89
3001 - 28060,3001.0,28060.0,159.79,298182.55
3002 - 28060,3002.0,28060.0,169.31,312005.97
3006 - 28060,3006.0,28060.0,173.37,315866.11
3008 - 28060,3008.0,28060.0,157.12,295108.34
3012 - 28060,3012.0,28060.0,159.84,295969.69
3016 - 28060,3016.0,28060.0,151.57,287652.43
3018 - 28060,3018.0,28060.0,152.43,292229.13
3019 - 28060,3019.0,28060.0,166.8,308019.58
25008 - 28060,25008.0,28060.0,88.62,149527.9
25009 - 28060,25009.0,28060.0,72.43,128060.67
25010 - 28060,25010.0,28060.0,105.77,163203.16
25011 - 28060,25011.0,28060.0,89.7,102824.1
26086 - 28060,26086.0,28060.0,38.77,58633.79
21006 - 28060,21006.0,28060.0,141.86,211059.55
22226 - 28060,22226.0,28060.0,128.84,155624.3
22227 - 28060,22227.0,28060.0,127.07,200784.88
22228 - 28060,22228.0,28060.0,117.44,195257.58
22229 - 28060,22229.0,28060.0,109.32,184296.89
23001 - 28060,23001.0,28060.0,60.95,110657.68
23002 - 28060,23002.0,28060.0,51.27,71042.79
23003 - 28060,23003.0,28060.0,55.43,66724.5
23004 - 28060,23004.0,28060.0,44.05,64821.48
21055 - 28060,21055.0,28060.0,131.64,246556.95
21056 - 28060,21056.0,28060.0,149.39,272369.62
21057 - 28060,21057.0,28060.0,147.08,281752.08
21058 - 28060,21058.0,28060.0,139.59,257147.0
21059 - 28060,21059.0,28060.0,139.15,242574.87
21060 - 28060,21060.0,28060.0,116.3,218473.01
21061 - 28060,21061.0,28060.0,149.43,269658.17
21062 - 28060,21062.0,28060.0,143.86,266068.91
21063 - 28060,21063.0,28060.0,149.42,229869.32
21064 - 28060,21064.0,28060.0,146.28,269522.41
21065 - 28060,21065.0,28060.0,139.08,257097.88
21066 - 28060,21066.0,28060.0,135.22,252978.19
21067 - 28060,21067.0,28060.0,176.82,307831.47
21068 - 28060,21068.0,28060.0,191.22,271829.49
21069 - 28060,21069.0,28060.0,140.89,238816.05
21070 - 28060,21070.0,28060.0,160.62,305685.51
21115 - 28060,21115.0,28060.0,157.47,301891.81
21116 - 28060,21116.0,28060.0,141.96,268599.61
21117 - 28060,21117.0,28060.0,148.59,218907.03
21118 - 28060,21118.0,28060.0,138.16,236935.21
22001 - 28060,22001.0,28060.0,78.24,142024.38
22002 - 28060,22002.0,28060.0,104.94,136989.13
23068 - 28060,23068.0,28060.0,69.62,102873.33
23069 - 28060,23069.0,28060.0,38.85,60237.95
26045 - 28060,26045.0,28060.0,51.94,55914.84
26046 - 28060,26046.0,28060.0,48.49,52647.29
26047 - 28060,26047.0,28060.0,35.86,35631.08
26048 - 28060,26048.0,28060.0,67.67,91344.36
26049 - 28060,26049.0,28060.0,51.96,80753.86
16051 - 28060,16051.0,28060.0,108.4,205223.17
16052 - 28060,16052.0,28060.0,119.99,211742.47
16053 - 28060,16053.0,28060.0,120.69,210243.77
16055 - 28060,16055.0,28060.0,99.31,181819.02
16056 - 28060,16056.0,28060.0,154.38,245398.31
16057 - 28060,16057.0,28060.0,117.1,208823.03
16058 - 28060,16058.0,28060.0,113.76,195161.4
16059 - 28060,16059.0,28060.0,123.26,218088.06
16060 - 28060,16060.0,28060.0,121.57,211859.75
16061 - 28060,16061.0,28060.0,145.28,237336.03
16062 - 28060,16062.0,28060.0,92.63,174304.58
16063 - 28060,16063.0,28060.0,116.8,205760.62
16064 - 28060,16064.0,28060.0,138.09,214556.76
16065 - 28060,16065.0,28060.0,118.58,195265.7
16066 - 28060,16066.0,28060.0,101.37,189753.54
16067 - 28060,16067.0,28060.0,122.2,211923.88
16068 - 28060,16068.0,28060.0,108.45,189379.55
16069 - 28060,16069.0,28060.0,105.68,187440.84
16070 - 28060,16070.0,28060.0,115.4,205002.02
16071 - 28060,16071.0,28060.0,127.58,205072.55
16072 - 28060,16072.0,28060.0,115.27,206157.95
16073 - 28060,16073.0,28060.0,96.49,179603.13
16074 - 28060,16074.0,28060.0,120.25,212224.81
16075 - 28060,16075.0,28060.0,113.45,207911.1
16076 - 28060,16076.0,28060.0,105.32,188756.64
25035 - 28060,25035.0,28060.0,76.38,133420.67
25036 - 28060,25036.0,28060.0,77.56,91585.28
25037 - 28060,25037.0,28060.0,83.72,142130.49
25038 - 28060,25038.0,28060.0,68.84,120408.77
25039 - 28060,25039.0,28060.0,85.75,146687.77
25044 - 28060,25044.0,28060.0,119.44,178592.23
56004 - 28060,56004.0,28060.0,255.11,472582.33
56005 - 28060,56005.0,28060.0,251.32,466026.85
56006 - 28060,56006.0,28060.0,221.95,419795.64
35024 - 28060,35024.0,28060.0,92.52,157406.5
22038 - 28060,22038.0,28060.0,89.04,106715.98
47008 - 28060,47008.0,28060.0,134.23,249603.68
47009 - 28060,47009.0,28060.0,129.26,244706.58
47010 - 28060,47010.0,28060.0,124.21,228451.61
59025 - 28060,59025.0,28060.0,324.78,590004.28
59026 - 28060,59026.0,28060.0,325.44,622712.12
59027 - 28060,59027.0,28060.0,307.97,565144.42
58047 - 28060,58047.0,28060.0,251.48,486893.88
58048 - 28060,58048.0,28060.0,294.37,548191.61
58049 - 28060,58049.0,28060.0,266.0,518513.35
58050 - 28060,58050.0,28060.0,276.87,523731.41
58051 - 28060,58051.0,28060.0,268.83,518987.99
58052 - 28060,58052.0,28060.0,252.71,459615.51
58053 - 28060,58053.0,28060.0,263.41,512737.88
58054 - 28060,58054.0,28060.0,268.55,489061.57
66027 - 28060,66027.0,28060.0,283.29,541030.05
66028 - 28060,66028.0,28060.0,308.85,583273.5
66029 - 28060,66029.0,28060.0,297.62,569248.58
66030 - 28060,66030.0,28060.0,279.21,528823.11
66031 - 28060,66031.0,28060.0,283.21,543056.64
66032 - 28060,66032.0,28060.0,290.69,566204.92
66033 - 28060,66033.0,28060.0,288.93,564958.4
66034 - 28060,66034.0,28060.0,305.97,579520.04
66035 - 28060,66035.0,28060.0,322.91,591744.82
66036 - 28060,66036.0,28060.0,297.01,570328.82
66037 - 28060,66037.0,28060.0,278.38,543965.16
66038 - 28060,66038.0,28060.0,289.55,562003.85
66039 - 28060,66039.0,28060.0,308.33,584481.78
66040 - 28060,66040.0,28060.0,272.89,522864.42
66041 - 28060,66041.0,28060.0,270.41,524351.18
78124 - 28060,78124.0,28060.0,497.5,971388.17
76064 - 28060,76064.0,28060.0,390.3,724032.87
55018 - 28060,55018.0,28060.0,209.3,394471.89
55019 - 28060,55019.0,28060.0,243.26,460941.84
55020 - 28060,55020.0,28060.0,192.34,364290.27
55021 - 28060,55021.0,28060.0,190.31,363542.46
46022 - 28060,46022.0,28060.0,164.08,293152.9
40033 - 28060,40033.0,28060.0,138.75,222504.16
40036 - 28060,40036.0,28060.0,120.99,201533.92
40037 - 28060,40037.0,28060.0,122.14,220579.53
40041 - 28060,40041.0,28060.0,113.59,211666.33
35017 - 28060,35017.0,28060.0,107.28,190606.91
35018 - 28060,35018.0,28060.0,123.07,207846.23
35022 - 28060,35022.0,28060.0,106.54,195725.19
35023 - 28060,35023.0,28060.0,95.03,162081.84
22039 - 28060,22039.0,28060.0,144.98,203729.31
22040 - 28060,22040.0,28060.0,127.69,162041.15
22041 - 28060,22041.0,28060.0,131.62,168778.34
22042 - 28060,22042.0,28060.0,143.74,223764.81
22043 - 28060,22043.0,28060.0,78.09,98568.2
22045 - 28060,22045.0,28060.0,131.54,195972.29
22046 - 28060,22046.0,28060.0,136.92,234633.07
22047 - 28060,22047.0,28060.0,130.74,167547.75
22048 - 28060,22048.0,28060.0,78.04,94586.58
22049 - 28060,22049.0,28060.0,76.62,96905.06
22050 - 28060,22050.0,28060.0,132.91,169594.71
22051 - 28060,22051.0,28060.0,128.67,226365.5
22052 - 28060,22052.0,28060.0,118.06,210186.51
22053 - 28060,22053.0,28060.0,109.89,183564.93
22054 - 28060,22054.0,28060.0,132.15,231282.27
22055 - 28060,22055.0,28060.0,112.47,145887.22
22056 - 28060,22056.0,28060.0,84.0,109591.85
22057 - 28060,22057.0,28060.0,128.09,193016.93
22058 - 28060,22058.0,28060.0,98.96,173048.49
22059 - 28060,22059.0,28060.0,83.33,99089.56
22060 - 28060,22060.0,28060.0,127.99,225792.66
22061 - 28060,22061.0,28060.0,97.21,128001.3
22062 - 28060,22062.0,28060.0,122.1,219133.13
20054 - 28060,20054.0,28060.0,97.57,155038.54
110010 - 28060,110010.0,28060.0,369.84,710758.13
